id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
6812,   alex, bansemer,47, majura avenue, tubbarubba, rochedale south,2087, nsw,19080724,22, 08 31656114,1541377,4
3755,   anthony, braithwaite,28, pindari crescent, jillamtong, kellyville,6107, qld,19341011,22, 04 87622876,9503047,4
7390,   helen, milcs,232, wentworth avenue, guest village (cnr bullcreek d drive, nhill,3555, vic,19160420,28, 07 91886890,8131131,2
6365,   murray, clarke,18, lander crescent, sec 203, keon park,6016, nsw,19561124,27, 03 09310323,9505284,6
558,   frank, arhipoff,39, cathcart close, tnhs 61, middleton beach,5159, vic,19561216,22, 04 07568240,7050360,6
2929,   margaret, hingston,2, banambila street, ratho road, rye,4700, sa,19551006,34, 04 70358924,9552160,5
752,   cristina, rocca,41, mclarty court, lake munmorah leisure park, north hobart,2660, nsw,19601008,29, 04 21947986,2640713,8
3775,   curtis, kulikovsky,2, marcus clarke street, braeburn, bonbeach,3550, nsw,19190103,26, 04 39716265,3851569,8
7380,   beverly, blackwell,20, lampard circuit, ochiltree, elsternwick,2282, vic,19070607,32, 04 68910884,8397802,2
7587,   lawrence, dolan,57, booth crescent, villa 48 alloura waters village, skenes creek,3579, wa,19030221,26, 02 71663534,5154305,3
9252,   edward, crossman,201, mcleod place, fairlight, woodcroft,3039, vic,19840227,31, 08 36180942,5637639,3
8644,   curtis, webb,63, hobart avenue, cottage rose, newcastle,3128, qld,19741114,29, 07 59020755,4237952,7
6334,   michael, varcoe,359, fitzmaurice street, ps 410896n, brighton,850, nsw,19540930,29, 04 81829937,6120459,5
2201,   steven, mees,84, antares crescent, gleeson park, greenwith,2794, tas,19130302,30, 02 32024245,6943023,8
906,   james, berry,316, berne crescent, vlla 18 pacific bay resort, bassendean,2026, vic,19860904,29, 04 98027718,6077054,0
7032,   hobert, roselli,58, sonder close, killarney park, elimbah,6167, vic,19281223,29, 04 79017902,3360359,5
9059,   ryan, lieben,10, bellinger circuit, wyuna, corio,6020, nsw,19701128,40, 04 05849376,1224245,5
2238,   emily, hare,25, stuart street, house 461, ormond,4216, vic,19820315,32, 03 54630812,4712239,2
486,   matthew, glass,32, vasey crescent, kassingbrook, clayfield,2280, vic,19840207,33, 03 01713406,4090006,2
1850,   lauren, grillett,158, de burgh street, tigers hill, elanora heights,4215, wa,19341105,25, 04 26769746,8612922,4
6566,   damien, crouch,82, charterisville avenue, cooranga, mullingar,2153, vic,19620118,29, 08 71295128,6188796,4
3267,   june, spate,8, handcock crescent, umavale, safety bay,2060, vic,19840131,35, 08 21650939,7211759,8
5259,   sarah, mckiernan,6, brache place, numba, prospect,2878, wa,19651230,25, 07 45715412,2261317,2
2232,   vincent, herbert,6, faithfull circuit, garden settlement, mount white,2042, tas,19650828,32, 02 22097901,6650929,0
