id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,phone_number,soc_sec_id
1805,kenneth,ryan,22,maxworthy street,strathmore vineyard,mount eliza,6430,nsw,19591205,04 92603163,1125975
1575,ashley,excell,44,moynihan street,evelyn heights,leichhardt,6030,vic,19170625,08 81578763,5994250
893,james,ayres,77,lyndon street,tyne,wangaratta,4670,vic,19890128,07 80474280,7019357
1787,lynda,becirevic,55,james street,sunbury,marsden,2226,nsw,19960120,07 83628166,8719524
1996,joseph,galbraith,11,wattle street,charlestown,mcmahons point,4157,vic,19460227,03 45164884,8156365
1786,andrew,boman,13,barrow place,naranda,mosman,4012,vic,19750114,08 10792499,4057598
1945,angelina,phillbrook,13,phillip avenue,mannix college,lauderdale,5044,sa,19180822,02 16485356,4816353
1999,david,fitzpatrick,8,yanda street,bonnie doon,broadmeadows,6105,nsw,19740816,07 92838065,8553076
1243,christina,westacott,23,moonbi crescent,reg simpson court,bundaberg,4719,sa,19780814,08 82164619,1528894
416,frank,versteeg,32,preston street,ben hill,lindfield,4744,nsw,19831017,07 94261368,8033130
445,robin,divona,45,streeton drive,minjarra,deniliquin,4556,nsw,19540508,03 22234339,3620698
185,maureen,thorpe,24,appel crescent,allanvale,hay,2304,wa,19100921,03 76719731,5682818
341,sandra,boase,3,taronga place,gilroy place,carnegie,3672,qld,19570610,03 63994776,3697689
254,matthew,creagh,8,ainslie avenue,evergreen,blacks beach,4118,qld,19490921,08 44776379,1893922
1404,mark,neylon,200,malcolm place,kangaroo gnd,para hills,3802,qld,19851031,03 57079673,4329394
1872,raul,boekel,74,caley crescent,grandview,malvern,4221,sa,19510913,02 73090895,2971278
1205,daisy,fitzpatrick,15,williamson street,garrawilla,caulfield,5085,vic,19370114,07 14530904,7707827
138,marc,dreyer,11,anne clark avenue,kooroo jersey stud,elizabeth park,2267,nsw,19590327,03 91838899,2144313
511,roxanne,wandell,18,hoddle garden,rockley,brighton,2849,nsw,19311012,02 45100051,7675632
1560,amy,dixon,61,william hudson crescent,brumpton street,frenchs forest,4069,nsw,19700201,07 04570098,8592439
642,jaden,maynard,17,poynton street,eldoret,mooroolbark,3226,qld,19380120,08 23207884,4816145
1917,william,hutcheson,72,dunstan street,westella,figtree,3181,nsw,19940202,03 60217515,6468493
1408,jana,moyse,408,wilkinson street,crosslands,highett,4570,vic,19130913,07 81529818,1258834
1423,walter,murton,38,thomas hart street,darling hills,st kilda east,2647,qld,19060301,02 82262426,1079971
195,andra,green,16,port jackson circuit,kerradan,lilydale,3136,nsw,19890715,02 22945219,4784687
630,marjorie,vonbibra,300,bertel crescent,alchera vlge,boulder,4011,nsw,19470623,08 04466410,1121784
1502,alisson,howie,33,mainwaring rich circuit,thistledoo,benowa,2456,nsw,19341001,07 63105114,2206363
1811,charles,loofs-wissowa,76,wentcher place,retirement village,merrimac,4878,nsw,19300413,03 20502370,2714463
684,paul,halley,8,mccabe crescent,wirreanda vlge,pakenham,2800,nsw,19620406,02 29075535,3855942
377,chester,bechtold,3,lyttleton crescent,donore,mount eliza,2200,qld,19800904,04 46994826,3603063
900,william,white,11,golden grove,fernlea,tweed heads south,2037,vic,19551019,08 09864089,3986954
968,christopher,mcneill,16,launceston street,lasswade,greensborough,2125,nsw,19110904,07 64688443,8535888
1108,richard,conaghty,317,gatton street,caroona village,mentone,6169,qld,19240205,02 48965331,5107602
509,denise,nuttycombe,1054,brinkley circuit,wainui lodge,port macquarie,5244,wa,19231014,08 27739175,7542671
449,lillian,reid,34,roxon place,rp 729,wyoming,2145,vic,19680311,02 64262882,4258109
311,kyle,rook,31,bertel crescent,fraser lodge,killara,4503,wa,19920914,08 93831027,4926377
1442,theodore,cookson,12,sherwood circuit,emmavale,martindale,4164,vic,19390205,08 68030402,9651525
585,brianna,hick,5,maurice place,kanga park,yarramundi,3133,wa,19490705,03 22037962,9613473
1229,maxwell,corneille,1,mount vernon drive,yuulong,kangaroo flat,6007,nsw,19100312,03 97835968,8274997
1366,tracy,brain,36,milari street,kyalla,maitland,6220,qld,19780517,04 28710557,8873269
870,alison,berry,26,raymond street,glenbrae,lindfield,2088,nsw,19270321,03 56744291,6580463
660,mikel,robson,1,fitchett street,spring hill road,mitcham,4650,vic,19051008,02 99314946,8670168
1540,alexus,nicolle,21,tallara parkway,padgee,budgewoi,6020,sa,19850323,08 77776740,9553919
165,edward,matthews,12,carron street,burnie north west private hospital,rowville,5113,wa,19740606,07 54798269,3645888
1378,stanley,kranz,96,ulverstone street,cambri vlge,spotswood,2017,nsw,19030507,08 83254528,6811860
46,tommy,clarke,385,kingsford smith drive,jackaranda lodge,marengo,5025,wa,19381128,08 08545397,7684185
1359,julia,jessup,24,dumas street,highfields medical centre,eight mile plains,2603,qld,19331219,02 99009904,6243967
334,raquel,reid,44,the verge,glynstan,four mile beach,2125,vic,19850102,07 32471475,5642101
1616,cheryl,donaldson,16,duncan street,barra barroo,hamilton,4223,act,19671031,07 21916572,1678434
1648,cody,dragomirescu,32,whitfield circuit,pendleside,kogarah,3072,sa,19801230,08 86289255,2962207
309,kristy,paine,20,naas road,coorrabin,killara,2148,nsw,19060914,07 65699500,3154000
1129,deborah,weaver,1,bavin street,arkaba,molong,812,vic,19091231,04 49504302,6254630
789,linda,voy,90,crofts crescent,nunkuri,nowra,6023,nsw,19680809,07 54334094,2445689
661,sebastian,middlebrook,24,barr-smith avenue,wytaliba,bourke,3156,vic,19590101,04 50071160,1831058
1752,rachel,maczkowiack,115,buzacott place,bellambi,tuckanarra,3136,qld,19940226,02 62665843,5340679
1117,skyler,tunner,30,paul coe crescent,greenbank,thornbury,6720,nsw,19780102,08 68809477,6246009
457,william,richmond,30,cavenagh place,hd curramulka,orange,3021,vic,19270331,07 10587421,4836538
1439,james,honeychurch,59,mouat street,billamein,scarborough,2440,wa,19740111,07 16478018,8391565
856,jeremiah,hendie,56,winton place,burnside,alice springs,6225,nsw,19701117,04 48247924,2500813
1349,lily,kerkham,20,alfred hill drive,sec 1,mitcham,4034,vic,19451203,02 03311316,4764645
49,joshua,zaltron,56,henning place,sattwa park,myrtleford,3781,vic,19800217,02 79099433,1427003
670,travis,cochrane,9,dumaresq street,medical centre,port kembla,4370,qld,19620626,02 58015370,8050063
470,edward,snell,3,brinkley circuit,the willows,shoalwater,5035,nsw,19670601,04 36037331,2052214
894,selena,musolino,162,hovea street,plain view,toukley,4740,qld,19100518,04 81486896,7467110
1974,henry,vurneski,49,pearse place,dalamar,tighes hill,2430,vic,19420523,07 40745040,9228934
1825,carlos,scacchitti,2,capella crescent,villa 5,glenmore park,3212,vic,19720829,03 98974459,8248883
27,ronald,lowry,305,antis street,eventide home,weetah,3782,sa,19730205,07 17940083,8420312
157,rebecca,beattie,24,dyurra place,sh b11,port kembla,4115,vic,19670905,04 04314763,1729270
1490,charles,green,15,duffy street,nioka,guyra,2880,wa,19270728,04 01602945,3692362
1034,mary,pascoe,3,thurlow place,baroona,boyne island,2703,wa,19030324,08 76276735,9853952
1839,catherine,galbraith,51,house circuit,callitris,smythes creek,7248,nsw,19690320,07 71890212,2127258
97,jose,lock,202,capella crescent,wilga,nowra,2165,nsw,19190101,04 80965027,6293596
653,virginia,miles,26,monaro crescent,bowillia court,west lakes shore,3070,sa,19691028,08 08323746,5282728
6,jerome,kerley,389,namadgi circuit,the gums,chester hill,6010,qld,19090917,07 76845237,7725972
1721,steven,campbell,227,mueller street,toowoomba,south perth,2614,nsw,19080413,04 58496638,8411977
1059,mary,zoanetti,35,madigan street,glenview,mirrabooka,4720,act,19220607,02 01081957,1005900
404,timothy,soden,146,pinkerton circuit,doonkuna estate,deniliquin,3031,qld,19080413,03 54487369,7599148
417,theodore,macgowan,42,light street,brileen,leppington,4868,nsw,19480714,04 75610248,4573197
1459,ethel,white,61,berne crescent,cedarview,beverly hills,4020,nsw,19110126,03 53896846,3906562
844,sharon,green,44,farnell place,sunbury,mulgrave east,4570,qld,19710722,03 57226647,7754754
531,paula,hare,25,bimberi crescent,professional centre,moorooka,6152,vic,19450415,04 93686441,5169801
922,jessie,falvey,9,william webb drive,myrtle point,gunn,3028,qld,19511019,04 82317779,5798124
823,clara,schwaz,59,embling street,marylands,south casino,5076,nsw,19940316,03 25374938,5163564
149,colleen,block,17,kootingal street,birrabilla,robina,2042,vic,19660409,07 35029144,4698050
1197,alex,lanyon,54,bimberi crescent,danica,adamstown heights,3162,sa,19280904,04 29113438,9934130
979,eric,madigan,98,yiman street,southport retirement village,beaumaris,2539,nsw,19140508,08 52818867,5740355
668,jack,mckerlie,331,tytherleigh street,the gums,torrumbarry,5031,sa,19020913,03 76703098,7111955
1642,donald,reid,72,hutchison crescent,falls hmstd,dapto,2077,vic,19440228,02 96306967,3747010
903,brandan,shepherdson,71,bural court,lambton denture clinic,dalby,4069,vic,19410206,07 69634043,1413515
316,nathanael,green,4,rickard place,gummin gummin,northmead,2250,nsw,19130724,07 19446492,2480618
1728,ernest,rickett,10,britten-jones drive,bowser,blackheath,3418,vic,19951013,08 59503100,3164191
1027,angela,clarke,25,noala street,marx garden world,wallsend,2289,sa,19570212,03 99858298,8680141
482,matthew,trainor,23,carrodus street,hd willochra,ulverstone,3630,nsw,19430521,03 55414546,9378584
1355,mary,berry,12,medley street,isabella est,upper coomera,2224,qld,19910326,08 72815616,1197960
582,carol,mcphail,1,barwon street,albion,st kilda,6000,vic,19300318,02 87646712,2446875
852,chandler,thredgold,1,benstead place,carrington retrmnt vlge,pooraka,5159,qld,19631213,04 76144979,1996921
933,angela,radulescu,153,william wilkins crescent,eureka,richardson,4506,nsw,19590616,08 39290243,6246318
1779,marisa,burford,804,hutchins street,craigston l1bg,pingelly,7250,vic,19060524,08 84073111,7993092
1923,stephanie,green,27,bowler place,rocklea,edgecliff,2913,nsw,19200307,04 23584937,7512285
250,rhonda,jessup,6,cumming place,springwood mews,armidale,2669,vic,19741124,04 70073738,2983388
472,judith,berry,11,britten-jones drive,villa 183,aldinga beach,4223,vic,19040119,04 29788075,2378960
362,sheldon,matthews,724,lyttleton crescent,waterdale,belmont,3033,sa,19311122,04 91744558,5139959
1292,johnathan,thorpe,81,tristania street,ronato,belmont,3186,wa,19400426,04 32420316,6307141
1769,carlos,athanasoulias,438,paul coe crescent,gumnut cottage,yarraville,3033,qld,19070826,03 59354843,2706648
216,christopher,leslie,4,burnett street,toowoomba,forrestfield,3222,vic,19210222,04 18142341,3460433
1268,wanda,mccracken,1,towner place,on the park,lake heights,4305,nsw,19040705,02 19373346,1955621
657,kristen,sveli,1,brigalow street,paradome,wanneroo,5168,qld,19200830,02 79037915,4477698
1086,julio,crofts,1,magrath crescent,cooranga,benowa,6225,vic,19941203,07 39278601,2055369
325,lucas,putterill,66,kauper street,lochinvah,lakes entrance,2518,qld,19600715,04 31986561,4822891
402,vera,rivera,9,chandler street,princetown cottage,argenton,4106,nt,19521002,08 36365929,8231502
1638,amanda,kerslake,75,marconi crescent,leisure living vlge,urangan,2304,nsw,19760106,03 15975638,2860651
359,jeanne,miles,38,noala street,cordboba park,buninyong,2111,qld,19040505,02 00235868,7313643
1831,thomas,holderhead,3,crossley close,white house,frankston,2155,nsw,19140331,08 89164124,1687099
126,stephen,allard,67,backler place,loma,gwambygine,3033,nsw,19151202,08 30992808,3787879
1589,john,simmonds,27,edmondson street,gwandalan,terrigal,810,sa,19830221,02 84636620,7524502
1799,dana,campbell,150,chaseling street,warwillah,smoko,2430,vic,19810809,08 24559115,9702163
1665,robert,philps,66,moulden court,caergwrle,carlingford,870,vic,19000214,03 09546604,4749036
1267,ryder,sherin,1,port jackson circuit,rajamare,figtree,2340,nsw,19220220,08 53004044,7558845
1247,dorothy,beelitz,34,spica street,riverview heights,shenton park,3268,vic,19791130,03 49763974,5670310
951,andrew,neville,11,heard street,mermaid plaza dental centre (cnr gold co,hawthorn,2233,nsw,19470904,02 46963070,9096141
251,ernesto,reid,29,karney street,villa 147,toowoomba,2161,wa,19061110,04 94491084,2691217
1507,willie,noble,6,gruner street,greater cess vill,broadbeach waters,2076,wa,19760121,04 77457843,9058665
818,margaret,kilby,10,scarborough street,mayfair,albury,2780,wa,19331128,07 64548621,8522876
232,jon,browne,26,beasley street,sheep station,doubleview,2220,nsw,19891126,08 69036406,4291304
710,philip,hoang,38,mccrae street,marjidin,ruse,2250,vic,19030416,02 46777819,2764020
1284,elizabeth,ayres,1,mount vernon drive,marx garden world,nuriootpa,3042,nsw,19780701,02 35521513,6339063
1283,jennie,carnicelli,55,iredale place,parkway centre,athelstone,3340,nsw,19750123,08 05848773,6503180
1160,dustin,boyle,2,barraclough crescent,meadowvale village,rocky cape,6076,nsw,19700311,04 91557168,7909649
935,laurie,grubb,9,harry hopman circuit,naygoondy,canterbury,3150,nsw,19410331,07 72456573,6197161
1009,doris,nguyen,6,percival street,rayak dp,frankston,3038,qld,19540527,08 26224191,3503134
1042,george,walkley,14,nemarang crescent,hillcrest lodge,corio,2602,nsw,19680402,03 64037456,5568903
20,jennifer,lowe,20,mcclintock street,cala sona,southgate,5141,nsw,19860618,04 97301186,5575924
1649,michael,maclucas,39,scott street,red hills,bucasia,830,nsw,19900818,03 79685586,7697680
897,stephen,white,5,lambrigg street,lakeside leisure park,mitcham,2320,vic,19440509,08 71831056,4544934
35,diane,callado,111,eaglemont retreat,cooranga,st kilda east,2086,nsw,19401220,07 88705971,8087237
458,adonis,siviour,563,tewksbury circuit,st johnof god hospital,dulwich hill,2745,nsw,19960222,08 16676048,7877307
296,eva,camp,13,galway place,berkeley vlge,bonnyrigg,2069,nsw,19740818,03 93795714,6401517
30,zaire,marshman,5,langdon avenue,mac donnells bldg (cnr grafton s street,boort,2289,nsw,19590525,08 72826434,2871422
1308,floyd,tippins,55,hobart place,tulgeywood,kangaroo flat,4171,qld,19160505,07 81748090,5314100
1032,christine,white,16,dare place,maralea,parramatta,3130,vic,19630819,08 10394218,2226381
1473,christopher,hiu,33,nott street,bonnie doon,stirling north,3340,wa,19640627,07 25653936,1380574
1382,robert,ronan,65,forbes street,pine view,bidwill,2145,vic,19080119,08 80595131,9683282
798,george,campbell,182,mcquade close,arrow park,armidale,7018,nsw,19500629,02 70684983,4593467
212,thelma,mesecke,3,caley crescent,bindaree,athelstone,3194,sa,19640501,08 28490674,4483507
1138,bryce,seddon,324,wybalena grove,glenmore,ashgrove,2197,vic,19771125,08 79448360,7334996
1295,esther,brokenshire,44,kalgoorlie crescent,aceland poll hereford stud,blair athol,4670,nsw,19100811,08 17855223,6244706
1609,amy,churches,6,barr-smith avenue,bowan downs,springwood,5501,vic,19080831,07 13634067,1575964
201,kristina,kowald,32,darke street,erinsvale,greenacre,6025,vic,19351002,04 50851715,7946125
50,sandra,dolan,15,godfrey street,nioka,cooran,3128,nt,19410911,03 58646975,4447256
1326,connor,trowse,44,henderson street,tupelo,lavington,4217,vic,19530722,03 53633768,3357868
631,jesus,vietmeyer,42,buru close,gsala view,corrimal east,6014,nsw,19610525,08 25470544,2805217
58,paul,beaty,4,adinda street,parish lorne,ingleburn,3155,nsw,19701226,08 47490130,4131972
1870,lawrence,finlay,114,onkaparinga crescent,chactor,scarborough,3355,sa,19340523,02 05511926,1484957
884,logan,scarabotti,33,kelleway avenue,ardrossan,oyster bay,4860,nsw,19381113,02 13530164,5848791
1401,jeremy,so,84,auld place,caravn park,inglewood,3193,vic,19711222,07 31414226,4174112
901,ava,kostaras,1,tazewell circuit,monier square,st johns park,3124,nsw,19620118,04 31555500,8151368
301,carrie,miels,21,gleadow street,naringal orchard,ingleburn,3161,vic,19450610,03 83273777,8537204
766,judith,jolly,17,holyman street,druid's oak,ringwood,2170,nsw,19630527,08 38217264,5432564
920,dale,clarke,21,fitchett street,wylarah,belmont,4300,vic,19061027,03 09998891,3061111
12,nathan,fax,10,hooker street,the willows,gordonvale,810,qld,19410527,02 95972939,8340306
879,kristine,chandler,400,rogers street,baringa orthopaedic centre,avondale heights,2093,vic,19870205,04 08904333,1459889
