id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,phone_number,soc_sec_id
2360,edward,howie,45,kinchela crescent,bimby vale,armidale,2340,qld,19981210,03 48285772,2794755
353,jose,petersen,46,henty street,dandarriga,innisplain,5351,vic,19180825,08 22505809,3044382
1333,elizabeth,nickolai,37,pulleine crescent,macquarie inn,casino,6210,wa,19920406,04 38937903,5932469
905,alma,fernance,115,maribyrnong avenue,larnach,st albans,2250,nsw,19810926,03 87317008,8575027
1289,christian,reid,24,unaipon avenue,mt pleasant,kareela,3711,vic,19980924,04 10294854,8787695
1273,jaclyn,rees,15,norris street,dromard,reservoir east,2148,wa,19830223,04 03800143,6904625
938,george,nguyen,38,harry hopman circuit,lochlees,caroline springs,2114,nsw,19661008,07 09622610,1219816
2231,brad,clarke,441,gask place,carngeal,ringwood north,2062,qld,19301213,07 21248132,2342880
65,bette,hindmarch,59,hughes crescent,acton road,knockrow,3046,vic,19650722,07 52411372,8115067
1323,billy,boylon,211,urambi vlge,westella,malvern east,4114,nsw,19871208,07 19828171,9556781
56,paris,ryan,11,empire circuit,kyeema,wetherill park,3029,nsw,19691112,04 71341511,5288784
1292,johnathan,thorpe,81,tristania street,ronato,belmont,3186,wa,19400426,04 32420316,6307141
1118,dennis,hinchey,3,candelo place,tricare nursing,adamstown,2760,qld,19420602,07 64669280,5393558
584,christopher,stanfield,16,morrissey street,nepean private hospital,st ives,3400,qld,19790811,04 52905203,9490316
374,edgar,worsley,18,mirning crescent,colombo plains,carnegie,3043,qld,19380114,02 47321947,3055918
275,brittany,bloomfield,49,smeaton circuit,parish talowahl,whyalla,5608,vic,19691208,04 85570016,5072903
746,debbie,coleman,391,vaughan garden,metropolis,batlow,5158,wa,19470113,08 77215917,4808658
128,ernest,coleman,23,yirawala street,brookvale,frankston,4305,vic,19171130,08 16050984,3835807
2146,angela,paterson,12,bougainville street,green lagoon,cardiff heights,3500,sa,19950801,07 91367187,8824020
2352,amy,colquhoun,60,robson street,wirreanda vlge,boondall,4122,nsw,19651011,03 31084499,4139545
674,julia,coleman,19,quiros street,southern cross,windsor,3136,vic,19410423,02 85650380,8218404
2164,emily,filce,245,hurtle avenue,sunning,st ives,2429,qld,19930103,04 93380411,6962861
2481,christopher,sherrington,74,strahan row,silverside,surry hills,6163,nsw,19681007,07 81045988,2270045
1083,nathan,gerick,12,southern cross drive,baldivis estate,colac,3437,qld,19061005,02 60897394,9559489
2422,edith,hyland,22,lyall crescent,old mcdonald farm,macquarie fields,4702,nsw,19010321,08 86736835,4503959
99,floyd,raethel,4,barlow street,billilla,regents park,5097,vic,19450906,04 07230268,1793202
1179,joseph,nikkerud,118,tauss place,glenoak,niagara park,3134,wa,19980824,08 40063166,4818471
964,mabel,fitzpatrick,40,nunan crescent,unt 3,benowa,2580,nsw,19210814,07 58615035,4420712
792,william,webb,52,scantlebury crescent,rosehill,burwood east,3216,nsw,19820407,04 80693751,9276827
29,stephen,paterson,8,morrison road,avalyn,berremangra,3056,vic,19591226,08 21039148,8498631
628,juanita,stanley,313,maraar place,emerandi,port macquarie,2170,nsw,19140714,02 30704728,3616512
944,roger,redmond,19,tobermorey place,colmarnock park,ensay,2810,qld,19171119,02 29844701,7262654
572,matthew,varcoe,175,lewis luxton avenue,laure,kalamunda,2324,nsw,19450330,02 48203249,2734540
907,matthew,green,33,hannan crescent,mandurah retirement village,figtree,3875,nsw,19500309,07 10200288,8529385
1080,eleanor,grierson,13,lobelia street,eden park,beenleigh,2602,wa,19460603,08 16954247,2437273
450,joe,white,73,tompson street,the park,sylvania,2750,vic,19981014,08 49391198,2790259
2109,todd,hope,504,grimshaw street,flt 211,reynella,2224,vic,19630912,02 70961678,8007330
1290,stephen,nguyen,5,melba street,wealdbarns,anglesea,3500,wa,19360604,07 32325123,5899005
1078,trevor,patafta,3,eildon place,retirement village,greensborough,4606,qld,19610401,04 58258430,1709542
254,matthew,creagh,8,ainslie avenue,evergreen,blacks beach,4118,qld,19490921,08 44776379,1893922
124,sylvia,webb,20,carlile street,pacific ranch,mooroolbark,6107,vic,19340604,02 02097749,3101517
2427,martin,green,67,searle place,greenwood,new farm,5070,nsw,19730915,02 21052989,5184162
251,ernesto,reid,29,karney street,villa 147,toowoomba,2161,wa,19061110,04 94491084,2691217
585,brianna,hick,5,maurice place,kanga park,yarramundi,3133,wa,19490705,03 22037962,9613473
2068,april,clarke,4,white crescent,sec 107,parkinson,3021,nsw,19690401,04 59236739,9479914
824,george,green,29,mcvilly close,westgate,woollahra,3072,wa,19290526,07 29991000,5032682
507,douglas,stanley,95,alexandria street,eurunderee,boyup brook,5034,nsw,19191213,02 10548645,3074212
889,randy,markotany,760,lexcen avenue,wombat hill,calen,4340,vic,19460918,02 05333461,9484350
70,johnny,eyles,3,daglish street,tillside,ivanhoe,2028,nsw,19220708,03 39575606,1488005
2108,brandi,atsalas,4,newdegate street,hosea mizpah,roselands,2260,vic,19020713,04 41374771,2757245
2032,harry,bligh,27,cutbush street,grand arcade,moss vale,2447,vic,19000304,03 64326759,1670507
247,scot,graue,4,macquarie street,robe community health centre,winchelsea,2113,nsw,19680425,04 61376475,2942564
1450,michael,krollig,64,custance street,trewilga,caroline springs,6076,vic,19460514,02 72765293,7443467
212,thelma,mesecke,3,caley crescent,bindaree,athelstone,3194,sa,19640501,08 28490674,4483507
909,joann,webb,14,toms crescent,jumble springs,sunshine,2049,nsw,19961026,03 03991740,5576511
2241,sonja,mccarthy,39,wirria circuit,glenwarren,cremorne,2800,sa,19531007,03 06679890,7313575
1244,terry,lowe,4,antill street,australia fair medical west centre,birkdale,2064,vic,19841004,02 17729049,9353632
2196,carroll,gnesel,14,bundey street,kalkee,terrey hills,4221,qld,19440806,04 88678899,4775262
1182,leroy,campbell,59,middleton circuit,wallaces ck,highett,3025,vic,19810403,03 60778536,8581717
361,tonya,dibben,12,mcphail place,omaha,culburra,2229,qld,19490608,03 95001994,6320145
1473,christopher,hiu,33,nott street,bonnie doon,stirling north,3340,wa,19640627,07 25653936,1380574
678,hattie,white,30,cockcroft avenue,hawkins masonic vlge,noble park,4223,nsw,19490524,04 98337857,6655615
2121,sarah,jessup,47,michael holt crescent,hobbit hole,cedar pocket,5098,sa,19400607,04 94459465,2853530
1089,rose,frusher,7,henty street,marshanti arabians,seven hills,3931,qld,19930204,07 50380623,8161130
2487,penny,hoffman,5,clive steele avenue,glen echo,strathalbyn,3942,sa,19450114,07 52844055,5409665
2347,patricia,revi,15,waite street,cliffdon park,wangaratta,5155,vic,19590214,04 93417672,4646965
987,kelly,browne,259,blacket street,gilroy place,bonnyrigg,2287,vic,19750806,02 14882564,5429708
2012,megan,fitzpatrick,210,philp place,brbe is retmt vlg,maryborough,830,nsw,19480417,08 36575403,4231727
111,adam,orchard,1012,harrison road,gwandalan,ringwood east,4816,nsw,19050126,08 42346968,2800590
1487,natalie,excell,214,juwin street,the plateau,view bank,3185,wa,19431114,02 43944300,8865251
1453,minerva,fitzpatrick,62,chauvel circle,stonefield,pallamallawa,4216,tas,19121004,08 42363846,1611063
383,raymond,capel,21,newman morris circuit,wyseworth rmb 346,port augusta,3134,nsw,19650630,02 35387431,8890362
1395,jorge,green,29,gye place,riverbourne,moorabbin,2258,nsw,19320118,03 39015886,9210714
1054,ava,parr,45,endeavour street,wingara,little mountain,4068,wa,19280718,08 25718361,4888020
755,jerry,crosswell,18,knox street,eureka,ringwood north,6210,qld,19630813,08 29034140,6144292
324,gerald,xie,11,mcinnes street,arawang,concord,3356,wa,19231224,08 12845789,7932178
2123,aaron,mcclelland,17,faunce crescent,gosford rsl,albury,2035,vic,19020908,02 04900869,2634092
787,brenda,blake,95,edmondson street,glenfine station,beresford,4610,vic,19170831,04 83478869,7735324
368,braxton,feeley,63,dawar place,sunbury,toowoomba,3802,nsw,19210302,08 42648653,3217240
2319,patrick,laskaridis,1,gunning place,little nest,tannum sands,2672,sa,19550707,08 64314849,8099190
69,kaden,pascoe,341,templestowe avenue,burrawong park,bunbury,2050,sa,19770225,08 30818387,9682325
857,deborah,redington,174,lipman street,sorrento,east preston,5075,vic,19161210,03 81734895,4377449
1483,julie,campbell,508,pennington crescent,wanding,robina,2034,vic,19680322,07 62628623,7151454
2055,kathleen,boxhall,32,de burgh street,unt 2,mona vale,2289,vic,19000617,08 20770161,1385481
2191,ramon,gillard,23,city walk,oakdale ranch,balhannah,4031,wa,19491223,03 55588144,5800887
1474,david,lodge,7,galmarra street,west pira,emerald,2566,vic,19740602,02 42808940,3863391
2298,hector,arlott,22,nemarang crescent,cornvale,burwood,4213,nsw,19900127,02 22455784,1460800
478,jesse,browne,43,bugden avenue,manresa,farrer,2212,nsw,19750303,07 27899226,4385647
281,edith,ryan,2,philp place,wanneroo central shopping centre,kingston,3747,qld,19000411,04 85629433,8602300
2147,anna,lukeman,10,ringrose crescent,villa 2,burpengary,3037,nsw,19700725,07 32803062,1890242
2056,matthew,white,498,light street,tomar,beaudesert,3207,sa,19561102,07 86149938,8201961
2229,lavina,wiseman,15,woralul street,alchera vlge,upper kedron,3073,vic,19300227,02 09077298,6016713
210,brian,dato,1,bathurst place,corombie,ballina,2582,nsw,19560827,02 06118154,8376766
297,sarah,witthoeft,18,keverstone circuit,brer park,thornlie,6030,nsw,19610602,02 75695967,9785163
2384,jamie,zorin,500,jeffcott place,fairway villas,broadbeach waters,2220,sa,19240901,03 68460328,4168444
2333,john,vincent,4,attwood close,argyle,rocky glen,2287,vic,19400212,03 43473988,5953482
