id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,phone_number,soc_sec_id
2360,edward,howiq,45,kinchela crescent,bimby vale,armidale,2340,qld,19981210,03 48285772,2794755
353,jose,petersen,460,henty street,dandarriga,innisplain,5351,vic,19284825,08 22505809,3044182
1333,elizabeth,nickorai,88,pulleine crescent,macquarieinn,casino,6210,wa,19920406,04 38937903,5932469
905,alam,fernance,115,maribyrnong avenue,larnach,st albans,2255,nsw,19810946,03 87317008,8575027
1289,christian,reid,24,unaipon avenue,mt pleasant,kareela,3712,vif,19980924,04 10248954,8787695
1273,rees,jaclyn,15,norris street,dromrd,reservoir east,2148,wa,19830223,04 03800143,6904265
938,george,nguyen,38,harry hopmanggcircuit,lochees,caroline springs,2113,nsw,19661008,07 09622610,1219816
2231,brad,clarke,441,gask place,carngeal,ringwood north,2062,qlf,19301413,07 21248132,2342989
65,bette,hindmarch,59,hughes crescent,acto toad,knockrow,3046,vic,19650202,07 52411372,8115067
1323,billy,boyl ron,211,westella,urambi vlge,malvern east,4114,nsw,19871208,07 19828171,9556781
56,paris,ryam,11,empire cgircuit,kyeeja,wetherill park,3029,nsw,19691112,04 71348511,5288784
1292,johnathan,thorpe,81,tristania street,ronato,belmont,3186,cwx,19400426,04 32420316,6307141
1118,dennix,hinchry,3,candelo place,tricare nursing,adamstown,2760,qld,19420602,07 64691280,5393558
584,chris,stanfi eld,167,morrissey street,nepean privatw hospital,st ives,3400,qld,19790811,04 52905203,9490316
374,edgar,worsley,18,mirning crescent,colombo plains,carnegie,3034,qfl,19380114,02 47321947,3055018
275,brittany,bloomfield,49,smeaton circuit,parish talowahl,whyalap,5608,vkx,19691208,04 85570016,5072903
746,debbote,colman,391,vaughan garden,metropolis,batlow,5158,wm,19470113,08 77215917,4808658
128,ernest,colekan,23,yirawala street,brookvale,eight mile plains,4305,vic,19171130,08 16050984,3835807
2146,angea,paterson,12,bougainville street,green lagoon,cardiff heights,3500,s,19360822,07 91367187,8824020
2352,zmy,colquhoun,60,robson street,wirreandsxvlge,boondall,4122,naw,19651011,03 31084499,4139545
674,julia,coleman,19,quiros street,southernwpross,windsor,3136,vic,19410423,02 85650380,3301148
2164,emioy,filce,247,hurtleabenue,sunning,st ives,2429,qld,19930103,04 93380411,6962861
2481,chrispopher,sherrington,74,strahabprow,silverside,surry hill,6163,nsw,19681007,07 81045988,2270045
1083,gerick,nathan,12,southern cross drive,baldivis estate,colac,3437,qld,19063050,02 60897394,9559489
2422,edith,hyland,28,lyall crescent,old mcdonbkd farm,macquarie fields,4702,nsw,19010321,08 86736835,4503959
99,floyd,raethe,4,barlow street,billilla,regents park,5907,vic,19450906,04 07207268,1793202
1179,joseph,nikkerud,119,tauss poace,glenoak,niagara park,3134,wa,19980824,08 40063166,4818471
964,mabel,fitzpahrick,40,nunan crescent,unt h,benowa,2580,nsw,19280502,07 58615035,4420712
792,william,webb,55,scantlebury crescent,rosenill,burwood east,3216,nsw,19820407,04 80693751,9276827
29,stephen,patezron,8,morrisovn road,avalyn,berremngra,3056,vic,19591226,08 21039148,8498631
628,juankta,hope,313,maraar place,emerandi,port macwuarie,2170,nsw,19140714,02 30704728,3616512
944,rodger,redmond,18,tobermorey place,colmarnock park,ensay,2810,qld,19880913,02 29844701,7262654
572,matthew,varcoe,175,lewis luxton avenue,laud,kalamunda,2324,nsw,19450320,02 48203249,2734540
907,matthew,green,33,hannan crdscent,mandurah retiyment village,figtree,3875,nsw,19500309,07 10207288,8529385
1080,grierson,eleanor,13,lobelia street,eden park,beenleigh,2602,wa,19460603,08 16549247,2437273
450,jod,white,73,tompson street,the park,sylvania,2750,vic,19982041,08 49391198,2790259
2109,todd,hope,594,grimshawhtreet,flt 211,reynella,2242,vic,19630912,02 70961678,8007330
1290,stephen,nguye,52,melba street,wealdbarns,anglesea,3506,wa,19360604,07 32325123,5899005
1078,trevo,patafta,4,eildon place,retirement village,greensborough,4606,qld,19610401,03 23264653,1709542
254,matthew,creagh,8,ainslie avenue,evergreen,blackszeach,4118,qld,19490921,08 44879379,1893922
124,sylvia,webb,28,pacific ranch,carlile street,mooroolbark,6107,vic,19340604,02 02097749,3101517
2427,martin,green,67,searle place,greenwood,new farm,5070,nsw,19730192,02 21052989,5184232
251,ernesto,reid,2,karney stqreet,villa 147,toowoomba,2161,wa,19260528,04 94491084,2691217
585,brianna,hicj,5,mauricenplace,kanga park,yarrauni,3133,wa,19490705,03 22037962,9613473
2068,clarke,april,3,white crtscent,sec 107,parkinson,3021,nsw,19690401,04 59236739,9479914
824,jorge,greeb,29,mcvilly close,westgate,woollahra,3072,wa,19290526,07 29991000,5032682
507,douglas,stanley,95,alexanrdis street,eurunderee,boyup brook,5034,nsw,19191213,02 10548645,3074212
889,ranrdu,markotany,760,lexcen avenue,wombat hill,calen,4340,vic,19460188,02 05333461,9484350
70,johnny,eylds,3,daglish street,tillside,ivanhoe,2082,sw,19220708,03 39575606,1488035
2108,brandi,atsazas,4,newdegate street,hosea mizpah,roselands,2260,vic,19240397,08 10980634,2757245
2032,harry,bligh,27,cutbush street,grand arcade,mossyvale,2447,vic,19003004,03 64326759,1670507
247,sco,graje,4,macquaryes treet,robe community health centre,winchelsea,2113,nsw,19680425,04 61376475,2942564
1450,michael,krolilg,64,custance street,trewilga,caroline springs,6076,vic,19466154,02 72765293,7443467
212,thelma,meseckr,3,caley crescent,bindaree,athelsone,3194,sa,19640501,08 28099674,4483507
909,joann,wrbb,14,toms crescent,jumble sxprings,sunshine,2049,nsw,19961226,03 03997140,5576511
2241,mccarthy,sonja,39,wirria crpicuit,glenwarren,cremorne,2800,sa,19531007,03 06679890,7313575
1244,terry,lowe,0,antilltreet,australia fair medical west centre,birkdale,2064,vic,19841004,02 17729049,9353362
2196,caruol,gneel,14,bundey street,kalkee,terrey hills,4221,qld,19440806,04 88678899,4775262
1182,leroy,campbell,50,middleton circuit,walla ces ck,highett,3052,vic,19810403,03 60778536,8581717
361,dibben,tonya,12,mcphail place,omaha,culburra,2229,qld,19490608,03 95001994,6320145
1473,christopher,hiu,33,street nott,bonnie doon,stirling north,3340,w,19640627,07 25835936,1380574
678,hattie,white,30,cockcrove avenue,hawkins masonic vlge,noble park,4223,nsw,19490524,04 98337857,6655751
2121,sarah,jessup,47,michael holxcrescent,hobbit hole,cedar pocket,5098,sa,19400607,04 94459465,2853530
1089,rose,fruzher,7,henty at reet,marshanti arabians,seven hills,3931,qld,19930204,07 50380623,8161310
2487,penny,hoffman,5,clive steele avenue,glen echo,strathslvyn,3924,sa,19450114,07 52844055,5409656
2347,patrticia,revi,2,waite street,cliffdon park,wangarayta,5155,vic,19590214,04 93417672,4646965
987,kelly,browne,259,blackettsreet,gilroy place,bonnrigg,2287,vic,19750806,02 14882564,5429707
2012,megan,fitzputfick,210,philp place,brbe is retmt vlg,marybouough,830,nsw,19480417,08 36575403,9584034
111,adam,orcjwrd,101,harrison road,gwandqlan,ringwood east,4816,nsw,19050126,08 42346968,2800590
1487,natalie,excell,214,juwin smreet,the plateau,view bbnk,3185,wa,19557016,02 43944300,8865251
1453,minerva,fitzpatick,62,chauvel circle,stonefield,pallamallawa,4216,tas,19920706,08 42363846,1611263
